VulnerabilityScore,Sector,Region,Size,Companies
1,Defense / Military Contractor,RoW,Small,71.52
1,Mining & Primary Industries,RoW,Small,4445.68
1,Pharmaceuticals,RoW,Small,1323.6
2,Energy,RoW,Small,5988.8
2,Food & Agriculture,RoW,Small,53327.36
2,Telecommunications,RoW,Small,729.6
2,Utilities,RoW,Small,9889.08
4,IT - Hardware,RoW,Small,80.8
4,Manufacturing,RoW,Small,70633.44
4,Real Estate / Property / Construction,RoW,Small,34931.4
3,Tourism & Hospitality,RoW,Small,30120.768
4,Transportation / Aviation / Aerospace,RoW,Small,28193.76
3,Business & Professional Services,RoW,Small,78672.6
5,Education,RoW,Small,4492.88
4,Entertainment & Media,RoW,Small,3692.4
4,Finance - Insurance,RoW,Small,5262.84
4,Finance - Investment management,RoW,Small,6862.32
4,Healthcare,RoW,Small,38501.84
4,IT - Software,RoW,Small,502
5,Retail,RoW,Small,154532.8
5,Finance - Banking,RoW,Small,4285.008
4,IT - Services,RoW,Small,170
1,Defense / Military Contractor,RoW,Medium,15.36
1,Mining & Primary Industries,RoW,Medium,1381.04
1,Pharmaceuticals,RoW,Medium,243.6
2,Energy,RoW,Medium,2112.8
2,Food & Agriculture,RoW,Medium,13473.92
2,Telecommunications,RoW,Medium,159
2,Utilities,RoW,Medium,1744.32
4,IT - Hardware,RoW,Medium,29.2
4,Manufacturing,RoW,Medium,15215.04
4,Real Estate / Property / Construction,RoW,Medium,4026
3,Tourism & Hospitality,RoW,Medium,2174.4
4,Transportation / Aviation / Aerospace,RoW,Medium,5920.32
3,Business & Professional Services,RoW,Medium,20420.64
5,Education,RoW,Medium,805.84
4,Entertainment & Media,RoW,Medium,606.8
4,Finance - Insurance,RoW,Medium,1264.68
4,Finance - Investment management,RoW,Medium,1568.16
4,Healthcare,RoW,Medium,9768.2
4,IT - Software,RoW,Medium,128
5,Retail,RoW,Medium,24278.4
5,Finance - Banking,RoW,Medium,3993.192
4,IT - Services,RoW,Medium,65.2
